Trading Pair         | 64-bit Hex Asset ID
FUND/USDC            | 0x00000000000027b3
DIABLO/USDC          | 0x00000000000027b4
PENIS/USDC           | 0x00000000000027b5
USDT0/USDC           | 0x00000000000027b6
PEG/USDC             | 0x00000000000027ba
USH/USDC             | 0x00000000000027bb
COOK/USDC            | 0x00000000000027bc
RUB/USDC             | 0x00000000000027bd
ANON/USDC            | 0x00000000000027be
FRCT/USDC            | 0x00000000000027bf
PERP/USDC            | 0x00000000000027c0
PURRO/USDC           | 0x00000000000027c1
USR/USDC             | 0x00000000000027c2
OTTI/USDC            | 0x00000000000027c3
USDHL/USDC           | 0x00000000000027c4
XAUT0/USDC           | 0x00000000000027c6
HORSY/USDC           | 0x00000000000027c7
HPENGU/USDC          | 0x00000000000027c8
ISLAND/USDC          | 0x00000000000027c9
LICKO/USDC           | 0x00000000000027cb
UPUMP/USDC           | 0x00000000000027cc
USPYX/USDC           | 0x00000000000027cd
STLOOP/USDC          | 0x00000000000027ce
TRADE/USDC           | 0x00000000000027cf
ANZ/USDC             | 0x00000000000027d0
UUUSPX/USDC          | 0x00000000000027d1
UBONK/USDC           | 0x00000000000027d2
LATINA/USDC          | 0x00000000000027d3
APU/USDC             | 0x00000000000027d4
WOULD/USDC           | 0x00000000000027d6
EX/USDC              | 0x00000000000027d7
UMOG/USDC            | 0x00000000000027d8
HREKT/USDC           | 0x00000000000027d9
KITTY/USDC           | 0x00000000000027da
DBLN/USDC            | 0x00000000000027db
VSN/USDC             | 0x00000000000027dc
THBILL/USDC          | 0x00000000000027dd
UENA/USDC            | 0x00000000000027de
HYPE/USDT0           | 0x00000000000027df
LTHREE/USDC          | 0x00000000000027e0
XAUT0/USDT0          | 0x00000000000027e1
UXPL/USDC            | 0x00000000000027e2
BAYC/USDC            | 0x00000000000027e3
LINK0/USDT0          | 0x00000000000027e4
LINK0/USDC           | 0x00000000000027e5
WMNT/USDC            | 0x00000000000027e6
SLAY/USDC            | 0x00000000000027e7
REI/USDC             | 0x00000000000027e8
RZR/USDC             | 0x00000000000027e9
REX/USDC             | 0x00000000000027ea
BRIDGE/USDC          | 0x00000000000027eb
PUP/USDC             | 0x00000000000027ef
UWLD/USDC            | 0x00000000000027f0
FLR/USDC             | 0x00000000000027f1
AVAX0/USDC           | 0x00000000000027f2
AAVE0/USDC           | 0x00000000000027f3
UDZ/USDC             | 0x00000000000027f4
USDH/USDC            | 0x00000000000027f6
UPHL/USDC            | 0x00000000000027f7
HYPE/USDH            | 0x00000000000027f8
UXPL/USDH            | 0x00000000000027f9
UBTC/USDH            | 0x00000000000027fa
UETH/USDH            | 0x00000000000027fb
KEI/USDC             | 0x00000000000027fc
WAR/USDC             | 0x00000000000027fd
XION/USDC            | 0x00000000000027fe
KITTEN/USDC          | 0x0000000000002800
HWAVE/USDC           | 0x0000000000002801
SWAP/USDC            | 0x0000000000002802
UMON/USDC            | 0x0000000000002803
USDXL/USDT0          | 0x0000000000002804
NBT/USDC             | 0x0000000000002805
IZEC/USDC            | 0x0000000000002806
FI/USDC              | 0x0000000000002807
BZEC/USDC            | 0x0000000000002808
RISK/USDC            | 0x0000000000002809
KHYPE/USDH           | 0x000000000000280a
MMOVE/USDC           | 0x000000000000280b
AXL/USDH             | 0x000000000000280c
CREAM/USDC           | 0x000000000000280d
KNTQ/USDH            | 0x000000000000280e
HYPE/USDE            | 0x000000000000280f
SEDA/USDC            | 0x0000000000002810
UMEGA/USDC           | 0x0000000000002811
STABLE/USDC          | 0x0000000000002812
CASH/USDC            | 0x0000000000002813
XMR1/USDC            | 0x0000000000002814
HAR/USDC             | 0x0000000000002815
CRCL/USDC            | 0x0000000000002817
TSLA/USDC            | 0x0000000000002818
SLV/USDC             | 0x0000000000002819
GOOGL/USDC           | 0x000000000000281a
FXRP/USDC            | 0x000000000000281b
AAPL/USDC            | 0x000000000000281c
BNB1/USDC            | 0x000000000000281d
SOON/USDC            | 0x000000000000281e
HOOD/USDC            | 0x000000000000281f
UZEC/USDC            | 0x0000000000002820
